533100,40.56,10636,1352,14360
533115,44.47,10484,1444,14116
533129,32.60,10176,1500,14352
533144,56.90,10388,1548,14456
533159,47.45,10356,1612,14284
533173,40.27,10344,1532,14436
533188,47.47,10480,1572,14164
533203,54.57,10308,1504,14420
533218,43.22,10236,1520,14292
533232,38.18,10292,1348,14416
533246,34.78,10104,1480,14808
533261,43.96,10088,1672,14528
533276,46.12,10168,1436,14584
533290,40.05,10652,1756,14376
533304,39.58,10408,1496,14936
533319,42.77,9860,1456,14976
533334,44.16,10568,1392,13684
533349,44.85,10008,1240,14148
533363,40.30,10344,1728,14352
533378,53.17,10200,1432,14556
533393,44.83,10552,1648,14392
533408,45.69,10684,1520,14092
533423,41.61,10176,1332,14076
533438,48.41,10512,1308,14224
533453,53.54,10252,1552,14296
533468,44.06,10312,1280,14556
533483,48.47,10324,1748,14624
533498,41.66,10344,1280,14096
533513,49.92,10292,1632,14352
533528,56.58,10388,1708,13944
533543,42.94,10280,1508,14744
533558,53.32,10244,1640,14184
533572,35.16,10492,1908,14352
533587,54.86,10080,1432,14564
533602,43.94,9680,392,14068
533617,52.53,9388,1332,14932
533632,40.25,9180,996,14312
533646,35.05,9616,2672,15156
533660,36.91,9676,1968,13600
533674,38.33,9928,2048,13716
533689,42.29,9876,1688,14448
533704,50.06,9684,1368,14468
533719,51.18,9328,1284,14592
533734,46.97,9020,1252,14764
533749,52.79,8972,1260,15076
533764,48.76,8988,1064,14360
533779,43.78,9748,1552,13648
533793,37.04,8972,1472,14460
533808,47.51,9188,1644,14492
533823,48.86,8876,1644,14744
533837,35.48,9748,1368,14168
533852,43.51,10012,1380,14644
533867,41.01,9676,1400,14440
533882,45.48,9176,1352,14400
533897,50.06,9432,1780,14356
533912,49.98,9512,1576,15336
533927,48.07,9064,1424,14992
533942,40.53,9656,1408,14060
533957,51.57,10448,1892,14176
533972,51.00,10020,1804,13852
533987,42.07,9260,1204,14448
534002,46.46,8972,1216,14692
534017,40.61,9152,1288,14640
534032,48.04,8436,820,14804
534047,53.58,9948,2260,15624
534062,47.95,10504,2932,13880
534076,38.18,11196,1868,13568
534091,41.28,9616,1452,14904
534106,46.43,8916,860,15068
534120,39.24,9808,1368,14004
534135,41.73,10748,2216,14952
534150,52.53,10124,1232,14776
534165,42.94,10312,1440,14632
534180,44.44,10236,1368,14952
534195,50.34,9092,1640,14972
534210,44.26,9860,1232,14116
534225,49.98,9420,1328,15256
534240,54.25,9784,1120,14676
534255,45.38,11684,2452,13848
534270,44.66,11644,1812,14808
534284,29.89,11376,1424,14528
534298,37.71,11500,1484,14960
534313,51.60,10600,1868,13888
534328,41.98,9776,1740,14644
534342,39.91,10532,1756,15384
534357,46.70,9580,1308,14824
534372,44.90,9180,1408,14464
534387,46.48,9900,1596,13336
534402,48.55,9720,1528,14656
534417,41.25,8796,1052,15020
534431,38.76,8800,808,14712
534446,47.76,9612,1160,14780
534462,61.96,10848,1768,13924
534477,45.69,10056,1512,13608
534492,46.67,10020,1548,13972
534507,48.21,9636,940,14564
534522,44.18,9908,1536,14716
534537,56.54,9472,832,13876
534553,60.09,10300,1820,14108
534568,51.96,10852,2324,12888
534583,43.05,9964,1572,15296
534598,46.46,9636,888,13360
534614,65.98,9172,720,15348
534629,50.97,8940,664,14412
534644,53.39,13216,3576,15988
534659,44.86,11016,2292,14188
534674,53.39,10688,948,15356
534689,41.61,10756,1196,13600
534704,53.13,10272,1324,15172
534719,42.48,10740,1804,13996
534734,45.82,10120,1088,14612
534749,52.51,10212,1428,14116
534764,52.20,12100,1904,14200
534779,47.90,11292,1592,14152
534794,52.43,10200,1384,14216
534809,49.80,10072,1576,14232
534824,49.60,9960,1288,14392
534839,55.62,9716,492,14752
534855,58.72,11276,1804,13812
534870,49.94,11596,1428,12996
534885,47.18,13352,1908,13888
534900,52.29,11808,1228,13664
534915,50.90,10156,1212,14916
534930,54.50,9872,948,14212
534945,44.11,10616,1600,14656
534960,45.89,12760,1940,12960
534975,57.42,11492,2136,14272
534989,38.67,10188,1168,14832
535004,54.13,9180,736,13644
535019,55.45,10196,1624,14928
535034,50.13,10420,1440,14712
535049,55.46,9420,1344,13816
535064,46.91,12152,1320,14592
535079,47.63,12160,2096,13116
535094,53.15,12228,1656,13608
535109,41.91,11536,1484,13252
535124,48.07,10564,1660,15084
535139,53.10,10772,1340,14528
535154,53.32,11080,1700,14760
535169,41.01,9828,1636,14256
535184,53.08,10216,1384,14780
535199,46.05,9916,1492,14524
535214,47.42,9420,1100,13956
535229,40.71,9968,1384,14076
535244,49.24,9896,824,15208
535259,53.25,8980,988,13508
535274,53.37,13236,1976,15248
535289,51.81,11416,1744,13152
535303,39.60,12456,1672,13884
535318,50.95,11948,1780,14568
535333,49.51,11204,1664,14100
535348,50.75,10808,1068,14196
535362,36.43,10784,1268,14564
535377,50.11,10324,1148,14128
535392,41.64,11272,2268,14476
535407,41.37,11072,1540,14588
535422,47.28,9888,1340,15124
535436,37.49,10372,888,13640
535451,43.24,10272,1648,14504
535465,38.36,10128,908,15028
535480,50.34,10700,1524,14348
535494,37.15,11336,1788,14332
535508,33.99,11480,1824,13996
535523,47.63,11456,1548,13256
535538,46.82,11584,1668,14124
535553,48.71,10732,1420,14164
535567,39.48,10832,980,14780
535582,48.43,10832,1044,13848
535596,38.81,12080,1544,15064
535610,37.51,11988,1752,13332
535625,48.59,11456,1832,14052
535640,44.49,10816,1744,13568
535655,47.63,9976,1636,14852
535670,47.18,9360,1000,14288
535685,47.52,9632,1592,15048
535700,47.87,10856,1368,13664
535715,47.40,11828,1956,13808
535729,35.84,11876,2188,13392
535744,46.99,10464,1264,14116
535758,34.92,10436,980,14156
535773,46.53,10632,1260,13812
535787,35.33,10860,1804,14144
535801,35.77,10884,1524,13268
535816,47.33,10284,1364,14476
535831,47.76,10268,1192,14288
535846,46.13,10348,1964,14328
535861,46.15,9628,1204,14496
535876,46.87,10456,1328,14368
535890,37.47,10688,1472,13356
535905,47.28,10220,1076,13988
535920,43.84,10352,1780,14144
535934,36.10,11148,1616,14152
535949,47.28,10096,1504,14660
535964,46.84,10172,1600,14096
535979,47.66,10188,1392,15096
535993,34.80,10272,1756,14288
536008,46.46,10412,1392,14644
536023,47.33,9948,1128,14776
536038,41.79,10536,2392,14912
536052,35.29,10428,1612,13828
536067,45.69,10344,1440,14804
536082,46.89,9868,1092,14472
536097,47.61,10524,1836,14196
536112,47.66,10288,1596,14920
536126,34.85,10412,1788,13980
536140,37.03,10148,1212,14392
536155,49.25,10284,1460,14336
536169,34.39,10092,1728,14228
536184,47.15,10548,1428,14776
536199,48.04,10436,1536,13824
536214,47.20,10296,1304,14096
536228,37.34,10076,1424,14952
536243,47.56,10476,1824,13936
536258,47.97,9772,1412,15288
536273,47.09,10276,1416,13648
536288,44.73,10148,1636,15088
536303,45.81,10072,1392,14552
536318,44.74,10520,1800,14936
536333,47.06,10240,1620,13904
536347,38.90,10056,1292,14620
536362,43.12,10172,912,13500
536377,47.85,10560,2144,13688
536391,39.67,10880,1780,13988
536405,39.27,10232,1624,15032
536420,47.78,10384,1556,14596
536435,46.96,10496,1148,14688
536450,42.17,10660,2100,14284
536465,44.88,10272,1192,14592
536480,42.15,10296,1536,13896
